No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Ancistroides sp.,,1,1
2,Appias libythea,,2,1
3,Elymnias hypermnestra,Kupu-kupu palem biasa,0,4
4,Erionota thrax,Kupu-kupu penggulung pisang,0,2
5,Jamides sp.,,1,1
6,Mycalesis mineus,,1,1
7,Neptis hylas,Kupu-kupu zebra hitam putih,2,2
8,Notocrypta paralysos,Kupu jurig pita biasa,1,3
9,Papilio memnon,Kupu-kupu pastur besar,0,2
10,Papilio polytes,Kupu-kupu pastur biasa,0,2
11,Ypthima huebneri,,1,2
