No,Nama Ilmiah,Nama Lokal,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Crocodylus porosus,Buaya muara,1,0,0
2,Duttaphyrnus melanostictus,Bangkong kolong,2,1,2
3,Eutropis multifasciata,Bengkarung,0,0,2
4,Fejervarya cancrivora,Katak sawah,2,2,2
5,Hemidactylus frenatus,Cicak rumah,2,0,2
6,Hemidactylus platyurus,Cicak pohon,1,10,6
7,Hylarana baramica,Kongkang baram,11,4,3
8,Microhyla sp.,Percil,0,8,9
9,Ophiopohagus hannah,Ular kobra raja,1,0,0
10,Varanus salvator,Biawak,1,1,2
