No,Nama Ilmiah,Nama Lokal,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Callosciurus notatus,Bajing kelapa,4.0,2.0,2
2,Macaca fascicularis,Monyet ekor panjang,20.0,15.0,24
3,Presbytis melalophos,Simpai hitam sumatera,7.0,1.0,1
4,Presbytis thomasi,Lutung kedih,0.0,7.0,10
5,Prionailurus bengalensis,Kucing hutan,2.0,1.0,1
6,Rattus rattus,Tikus rumah,,,3
7,Sus scrofa,Babi hutan,2.0,1.0,1
8,Trachypithecus cristatus,Lutung kelabu,8.0,9.0,9
9,Tupaia sp.,Tupai,,,2
