No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Zizina otis,Kupu-kupu rumput Kecil,2,2
2,Lyssa zampa,Ngengat ekor walet biasa,1,1
3,Elymnias hypermnestra,Kupu-kupu palem biasa,4,4
4,Eurema sp.,Kupu-kupu kuning rumput,1,1
5,Junonia atlitets,Kupu-kupu solek kelabu,,1
