No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Neurothemis fluctuans,-,2,2
2,Orthetrum sabina,-,2,2
3,Raphismia bispina,-,2,4
4,Pantala flavescens,Capung kembara,0,1
5,Diplacodes trivialis,Capung-tengger biru,0,2
