No,Nama Ilmiah,Nama Lokal,Jumlah 2022,Jumlah 2023,Jumlah 2024,Jumlah 2025
1,Callosciurus notatus,Bajing kelapa,,,3,3
2,Macaca fascicularis,Monyet ekor panjang,,,1,9
3,Sus scrofa,Babi hutan,,,2,0
4,Presbytis melalophos,Simpai hitam sumatera,,,5,4
5,Trachypithecus cristatus,Lutung kelabu,,,0,6
6,Tupaia minor,Tupai kecil,,,0,0
7,Prionailurus bengalensis,Kucing hutan,,,0,0
