No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Chalcorana chalconota,Kongkang kolam,0,1
2,Dendrelaphis caudolineatus,Ular tambang bergaris,1,1
3,Eutropis multifasciata,Bengkarung,4,5
4,Limnonectes macrodon,Kodok batu,0,1
