No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Elymnias hypermnestra,Kupu-kupu palem biasa,2,3
2,Drupadia theda,Kupu-kupu buket gelap,0,1
3,Papilio demolion,Kupu-kupu walet pita,0,2
4,Graphium doson,Kupu-kupu sayap segitiga biasa,0,2
5,Eurema sp.,Kupu-kupu alang kuning,0,3
6,Graphium agamemnon,Kupu-kupu sayap-segitiga berekor,0,2
7,Zizina otis,Kupu-kupu alang biru kecil,0,2
