No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Agriocnemis minima,Capung-jarum kurcaci,6,6
2,Anax sp.,-,0,2
3,Brachydiplax chalybea,Capung-sambar dada-karat,0,3
4,Camacinia gigantea,Capung-jala raja,0,1
5,Ceriagrion cerinorubellum,Capung-jarum ekor-jingga,0,3
6,Nannophya pygmaea,,3,3
7,Neurothemis fluctuans,Capung-jala kecil,6,6
8,Orthetrum chrysis,Capung-sambar perut-kait,3,3
9,,,18,27
