No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Callosciurus notatus,Bajing kelapa,6,8
2,Macaca fascicularis,Monyet ekor panjang,20,20
3,Macaca nemestrina,Beruk,10,10
4,Presbytis melalophos,Lutung simpai hitam sumatera,0,8
5,Pteromyini sp.,Tupai terbang,1,1
6,Sundasciurus lowii,Bajing ekor pendek,0,3
7,Sus scrofa,Babi hutan,0,1
