No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Brachydiplax chalybea,Capung‐sambar dada-karat,0,2
2,Camacinia gigantea,Capung-jala raja,1,1
3,Ictinogomphus decoratus,Capung-loreng tombak,1,4
4,Nannophya pygmaea,-,0,2
5,Orthetrum sabina,Capung-sambar hijau,3,6
6,Rhyothemis phyllis,Capung-lebah garis-kuning,0,1
