No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Acraea terpsicore,Kupu-kupu coster jingga,1,1
2,Danaus melanippus,Kupu-kupu macan putih,0,1
3,Eurema sp.,Kupu-kupu belerang,1,1
4,"Hypolycaena sp,",Kupu-kupu biru kecil,1,1
5,Junonia orithya,Kupu-kupu solek biru,0,2
6,Papilio demoleus,Kupu-kupu jeruk,1,1
7,Papilio sp.,Kupu-kupu ekor layang,1,1
8,Prosotas dubiosa,Kupu-kupu kepak kuntul,0,2
