No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Eutropis multifasciata,Bengkarung,1,1
2,Fejervarya sp.,Kodok sawah,1,1
3,Bronchocela jubata,Bunglon surai,0,1
4,Draco sp.,Cekibar,0,1
