No,Nama Ilmiah,Nama Lokal,Jumlah 2024,Jumlah 2025
1,Callosciurus notatus,Bajing Kelapa,2.0,2
2,Helarctos malayanus,Beruang madu,,1
3,Macaca fascicularis,Monyet Ekor Panjang,20.0,20
4,Neofelis diardi,Macan dahan sumatra,,1
5,Presbytis melalophos,Lutung Simpai Hitam Sumatera,8.0,8
